Make,Y,L,Price,Longitude,Latitude,flag
Beneteau ,0.0,0.75,105000,-61.604171,12.262776,1
Catalina,0.0,0.5,179950,-61.604171,12.262776,1
Dufour,0.0,0.1,86000,-69.060087,12.226079,1
Grand Soleil,0.0,0.65,230000,-61.604171,12.262776,1
Jeanneau ,0.0,0.65,157968,-61.024174,14.641528,1
ShearWater,0.0,0.15,245000,-61.604171,12.262776,1
Wauquiez,0.0,0.2,145817,-80.782127,8.537981,1
Wauquiez,0.0,0.2,139696,-80.782127,8.537981,1
Wauquiez,0.0,0.2,146196,-80.782127,8.537981,1
Amel,0.07142857142857142,1.0,495000,-61.9554608,17.2234721,1
Beneteau,0.07142857142857142,0.35,85000,-61.222503,10.691803,1
Beneteau,0.07142857142857142,0.65,189000,-61.604171,12.262776,1
Beneteau,0.07142857142857142,0.75,139000,-61.604171,12.262776,1
Grand Soleil,0.07142857142857142,0.65,273182,-61.9554608,17.2234721,1
Bavaria,0.1428571428571428,0.5,151892,-61.024174,14.641528,1
Bavaria ,0.1428571428571428,0.5,152910,-60.978893,13.909444,1
Bavaria ,0.1428571428571428,0.65,200498,-61.024174,14.641528,1
Beneteau,0.1428571428571428,0.35,125000,-61.604171,12.262776,1
Beneteau,0.1428571428571428,0.35,125000,-64.896335,18.335765,1
Beneteau ,0.1428571428571428,0.65,265000,-70.162651,18.735693,1
Beneteau ,0.1428571428571428,0.65,206574,-61.024174,14.641528,1
Beneteau ,0.1428571428571428,0.75,303785,-62.067641,16.995971,1
Dufour,0.1428571428571428,0.1,72908,-61.9554608,17.2234721,1
Hanse,0.1428571428571428,0.35,157907,-61.024174,14.641528,1
Jeanneau,0.1428571428571428,0.3,169000,-61.604171,12.262776,1
Jeanneau,0.1428571428571428,0.3,129000,-61.604171,12.262776,1
Jeanneau,0.1428571428571428,0.95,309000,-61.222503,10.691803,1
Bavaria,0.2142857142857143,0.1,92351,-61.024174,14.641528,1
Bavaria,0.2142857142857143,0.65,285000,-70.162651,18.735693,1
Beneteau,0.2142857142857143,0.65,240000,-61.604171,12.262776,1
Grand Soleil,0.2142857142857143,0.65,229000,-61.604171,12.262776,1
Hunter ,0.2142857142857143,0.45,174900,-66.590149,18.220833,1
Island Packet,0.2142857142857143,0.65,330000,-61.604171,12.262776,1
Jeanneau,0.2142857142857143,0.15,109000,-61.604171,12.262776,1
Jeanneau,0.2142857142857143,0.3,149000,-64.639968,18.420695,1
Jeanneau,0.2142857142857143,0.65,99999,-63.0548,18.0425,1
ShearWater,0.2142857142857143,0.35,220000,-61.222503,10.691803,1
Beneteau,0.2857142857142857,0.2,155000,-69.968338,12.52111,1
Beneteau,0.2857142857142857,0.75,155538,-61.024174,14.641528,1
Beneteau,0.2857142857142857,0.9,239900,-61.604171,12.262776,1
Beneteau,0.2857142857142857,0.9,188347,-62.067641,16.995971,1
Beneteau,0.2857142857142857,0.9,182000,-62.067641,16.995971,1
Jeanneau,0.2857142857142857,0.3,145000,-61.9554608,17.2234721,1
Jeanneau,0.2857142857142857,0.3,129000,-64.896335,18.335765,1
Jeanneau,0.2857142857142857,0.45,127300,-61.024174,14.641528,1
Jeanneau,0.2857142857142857,0.95,219940,-62.067641,16.995971,1
Jeanneau,0.2857142857142857,0.95,220548,-61.024174,14.641528,1
Jeanneau ,0.2857142857142857,0.65,220000,-61.604171,12.262776,1
Jeanneau ,0.2857142857142857,0.65,206574,-61.024174,14.641528,1
Jeanneau ,0.2857142857142857,0.65,109363,-61.287228,12.984305,1
Beneteau,0.3571428571428572,0.35,99000,-64.639968,18.420695,1
Beneteau,0.3571428571428572,0.35,129000,-61.604171,12.262776,1
Beneteau,0.3571428571428572,0.7,54681,-62.067641,16.995971,1
Beneteau ,0.3571428571428572,0.65,187131,-61.024174,14.641528,1
Dufour ,0.3571428571428572,0.45,149950,-61.9554608,17.2234721,1
Hunter,0.3571428571428572,0.65,219000,-63.0548,18.0425,1
Jeanneau,0.3571428571428572,0.95,219940,-61.024174,14.641528,1
Bavaria,0.4285714285714285,0.2,99000,-70.162651,18.735693,1
Beneteau,0.4285714285714285,0.2,140000,-64.639968,18.420695,1
Beneteau,0.4285714285714285,0.2,99600,-64.639968,18.420695,1
Beneteau,0.4285714285714285,0.2,155460,-61.604171,12.262776,1
Beneteau,0.4285714285714285,0.2,110000,-61.604171,12.262776,1
Beneteau,0.4285714285714285,0.2,80000,-61.604171,12.262776,1
Beneteau,0.4285714285714285,0.35,129000,-64.896335,18.335765,1
Beneteau,0.4285714285714285,0.65,179000,-64.639968,18.420695,1
Beneteau ,0.4285714285714285,0.45,194422,-61.024174,14.641528,1
Beneteau ,0.4285714285714285,0.65,185000,-61.9554608,17.2234721,1
Dufour,0.4285714285714285,0.2,91135,-61.9554608,17.2234721,1
Dufour,0.4285714285714285,0.2,91106,-61.604171,12.262776,1
Dufour,0.4285714285714285,0.45,229578,-62.067641,16.995971,1
Bavaria,0.5,0.2,92500,-61.604171,12.262776,1
Bavaria,0.5,0.2,92500,-61.287228,12.984305,1
Beneteau,0.5,0.2,139000,-61.024174,14.641528,1
Beneteau,0.5,0.45,165000,-61.604171,12.262776,1
Beneteau,0.5,0.9,215000,-64.639968,18.420695,1
Beneteau ,0.5,0.45,165000,-61.287228,12.984305,1
Grand Soleil,0.5,0.2,267331,-61.222503,10.691803,1
Hanse,0.5,0.4,145000,-61.604171,12.262776,1
Hanse,0.5,0.4,169000,-63.0548,18.0425,1
Bavaria,0.5714285714285714,0.2,120299,-61.024174,14.641528,1
Bavaria ,0.5714285714285714,0.45,149950,-61.9554608,17.2234721,1
Dufour,0.5714285714285714,0.1,99950,-64.896335,18.335765,1
Dufour,0.5714285714285714,0.2,179000,-62.782998,17.357822,1
Dufour,0.5714285714285714,0.65,358466,-61.024174,14.641528,1
Dufour ,0.5714285714285714,0.65,346315,-61.024174,14.641528,1
Hanse,0.5714285714285714,0.2,168000,-61.9554608,17.2234721,1
Hanse,0.5714285714285714,0.4,176131,-62.067641,16.995971,1
Hanse,0.5714285714285714,0.4,176131,-61.024174,14.641528,1
Beneteau,0.6428571428571429,0.45,208936,-64.639968,18.420695,1
Beneteau,0.6428571428571429,0.45,259000,-61.604171,12.262776,1
Beneteau ,0.6428571428571429,0.65,230000,-61.604171,12.262776,1
Dufour,0.6428571428571429,0.45,199000,-64.639968,18.420695,1
Wauquiez ,0.6428571428571429,0.55,461753,-61.024174,14.641528,1
Bavaria ,0.7142857142857143,0.5,198000,-64.639968,18.420695,1
Beneteau,0.7142857142857143,0.2,155000,-64.639968,18.420695,1
Beneteau,0.7142857142857143,0.2,139000,-64.639968,18.420695,1
Beneteau,0.7142857142857143,0.45,172000,-64.639968,18.420695,1
Beneteau ,0.7142857142857143,0.45,275000,-61.9554608,17.2234721,1
Beneteau ,0.7142857142857143,0.45,189000,-64.639968,18.420695,1
Beneteau ,0.7142857142857143,0.45,169000,-64.639968,18.420695,1
Dufour,0.7142857142857143,0.05,130000,-64.639968,18.420695,1
Dufour,0.7142857142857143,0.05,129000,-64.639968,18.420695,1
Dufour,0.7142857142857143,0.05,119000,-64.639968,18.420695,1
Dufour ,0.7142857142857143,0.65,297709,-61.024174,14.641528,1
Hanse,0.7142857142857143,0.4,279900,-64.639968,18.420695,1
Hanse,0.7142857142857143,0.4,279000,-64.639968,18.420695,1
Jeanneau,0.7142857142857143,0.2,135000,-60.978893,13.909444,1
Jeanneau,0.7142857142857143,0.7,209000,-64.639968,18.420695,1
Jeanneau ,0.7142857142857143,0.5,182271,-61.9554608,17.2234721,1
Jeanneau ,0.7142857142857143,0.5,295000,-63.0548,18.0425,1
