Make,Y,L,Price,Longitude,Latitude,flag
Alubat,0.0,0.25,267233,2.213749,46.227638,1
Bavaria,0.0,0.5,133015,5.291266,52.132633,1
Bavaria,0.0,0.5,145769,-3.74922,40.463667,1
Bavaria,0.0,0.7,145744,-3.74922,40.463667,1
Beneteau,0.0,0.15,101427,-8.224454,39.399872,1
Beneteau,0.0,0.15,108108,-3.74922,40.463667,1
Beneteau,0.0,0.15,103249,-3.74922,40.463667,1
Beneteau,0.0,0.15,95860,-3.435973,55.378051,1
Beneteau,0.0,0.35,108108,2.213749,46.227638,1
Beneteau,0.0,0.35,106519,2.213749,46.227638,1
Beneteau,0.0,0.35,95961,2.213749,46.227638,1
Beneteau,0.0,0.35,108108,5.291266,52.132633,1
Beneteau,0.0,0.35,101792,-8.224454,39.399872,1
Beneteau,0.0,0.85,224719,-3.74922,40.463667,1
Beneteau,0.0,0.85,223504,-3.74922,40.463667,1
Beneteau,0.0,0.85,212572,-3.74922,40.463667,1
Beneteau,0.0,1.0,461603,-3.74922,40.463667,1
Catalina,0.0,0.3,119242,-3.435973,55.378051,1
Dufour,0.0,0.2,97054,2.213749,46.227638,1
Dufour,0.0,0.4,163984,2.213749,46.227638,1
Dufour,0.0,0.45,139726,2.213749,46.227638,1
Grand Soleil,0.0,0.35,181597,2.213749,46.227638,1
Grand Soleil,0.0,0.45,224719,2.213749,46.227638,1
Grand Soleil,0.0,0.65,252527,-3.435973,55.378051,1
Hallberg-Rassy,0.0,0.2,299771,-3.435973,55.378051,1
Hanse,0.0,0.2,93256,-3.435973,55.378051,1
Hanse,0.0,0.5,303674,2.213749,46.227638,1
Hanse,0.0,0.5,179942,-3.74922,40.463667,1
Hanse,0.0,0.5,170057,-3.74922,40.463667,1
Hanse,0.0,0.85,200433,-8.24389,53.41291,1
Hanse,0.0,0.85,334055,-3.74922,40.463667,1
Hanse,0.0,0.85,333920,-3.74922,40.463667,1
Harmony,0.0,0.3,83270,2.213749,46.227638,1
Hunter,0.0,0.2,96555,2.213749,46.227638,1
Hunter,0.0,0.2,94746,2.213749,46.227638,1
Hunter,0.0,0.5,169000,-3.74922,40.463667,1
Hylas,0.0,0.65,464979,-3.74922,40.463667,1
Island Packet,0.0,0.4,286566,-3.435973,55.378051,1
Jeanneau,0.0,0.2,121470,-3.74922,40.463667,1
Jeanneau,0.0,0.45,132402,2.213749,46.227638,1
Jeanneau,0.0,0.65,236875,2.213749,46.227638,1
Jeanneau,0.0,0.65,162776,2.213749,46.227638,1
Jeanneau,0.0,0.65,222298,-3.74922,40.463667,1
Jeanneau,0.0,0.65,168843,-3.74922,40.463667,1
Jeanneau,0.0,0.95,267233,-8.224454,39.399872,1
Jeanneau,0.0,0.95,358335,-3.74922,40.463667,1
Jeanneau,0.0,0.95,358287,-3.74922,40.463667,1
Jeanneau,0.0,0.95,301204,-3.74922,40.463667,1
Malo,0.0,0.4,351047,5.291266,52.132633,1
Malo,0.0,0.5,393128,-3.435973,55.378051,1
Moody,0.0,0.6,406940,-3.74922,40.463667,1
Najad,0.0,0.1,233156,-3.435973,55.378051,1
Nauticat,0.0,0.1,306497,-3.74922,40.463667,1
Nauticat,0.0,0.35,321907,9.501785,56.26392,1
Sunbeam,0.0,0.15,186497,-3.435973,55.378051,1
Sunbeam,0.0,0.85,399651,-3.74922,40.463667,1
Sweden Yachts,0.0,0.35,166473,-3.435973,55.378051,1
Tartan,0.0,0.45,302459,5.291266,52.132633,1
Van De Stadt,0.0,0.5,297560,5.291266,52.132633,1
Wauquiez,0.0,0.2,151876,2.213749,46.227638,1
Wauquiez,0.0,0.2,151837,2.213749,46.227638,1
Wauquiez,0.0,0.2,132436,-3.74922,40.463667,1
X-Yachts,0.0,0.2,200476,5.291266,52.132633,1
Alliage,0.07142857142857142,0.4,358287,2.213749,46.227638,1
Bavaria,0.07142857142857142,0.15,95961,2.213749,46.227638,1
Bavaria,0.07142857142857142,0.15,95961,2.213749,46.227638,1
Bavaria,0.07142857142857142,0.15,91102,-3.74922,40.463667,1
Bavaria,0.07142857142857142,0.3,120862,5.291266,52.132633,1
Bavaria,0.07142857142857142,0.3,145764,-8.224454,39.399872,1
Bavaria,0.07142857142857142,0.65,139690,-3.74922,40.463667,1
Beneteau,0.07142857142857142,0.15,99630,-8.224454,39.399872,1
Beneteau,0.07142857142857142,0.35,95961,-3.74922,40.463667,1
Beneteau,0.07142857142857142,0.55,151876,-3.74922,40.463667,1
Beneteau,0.07142857142857142,0.55,151876,-3.74922,40.463667,1
Beneteau,0.07142857142857142,0.55,151876,-3.74922,40.463667,1
Beneteau,0.07142857142857142,0.55,144586,-3.74922,40.463667,1
Beneteau,0.07142857142857142,0.55,144586,-3.74922,40.463667,1
Beneteau,0.07142857142857142,0.65,241734,2.213749,46.227638,1
Beneteau,0.07142857142857142,0.65,224719,-8.224454,39.399872,1
Beneteau,0.07142857142857142,0.65,199781,-3.435973,55.378051,1
Beneteau,0.07142857142857142,0.75,144549,2.213749,46.227638,1
Beneteau,0.07142857142857142,0.85,361980,-3.74922,40.463667,1
Beneteau,0.07142857142857142,0.85,252657,-3.74922,40.463667,1
Dufour,0.07142857142857142,0.1,103249,2.213749,46.227638,1
Dufour,0.07142857142857142,0.2,108108,-3.74922,40.463667,1
Dufour,0.07142857142857142,0.45,168886,-3.74922,40.463667,1
Elan,0.07142857142857142,0.4,129973,-3.74922,40.463667,1
Elan,0.07142857142857142,0.4,106893,-3.74922,40.463667,1
Hanse,0.07142857142857142,0.2,108135,2.213749,46.227638,1
Hanse,0.07142857142857142,0.2,139690,5.291266,52.132633,1
Hanse,0.07142857142857142,0.2,115275,5.291266,52.132633,1
Hanse,0.07142857142857142,0.2,100820,-3.74922,40.463667,1
Hanse,0.07142857142857142,0.5,200425,2.213749,46.227638,1
Hanse,0.07142857142857142,0.55,199990,9.501785,56.26392,1
Hanse,0.07142857142857142,0.8,267233,-3.74922,40.463667,1
Hanse,0.07142857142857142,0.85,179782,-8.24389,53.41291,1
Hanse,0.07142857142857142,0.85,179775,-8.24389,53.41291,1
Harmony,0.07142857142857142,0.1,66549,-3.435973,55.378051,1
Hunter,0.07142857142857142,0.1,95961,-8.4863157,51.8968917,1
Island Packet,0.07142857142857142,0.45,279854,-5.353585,36.140751,1
Island Packet,0.07142857142857142,0.45,279845,-5.353585,36.140751,1
Island Packet,0.07142857142857142,0.45,376505,5.291266,52.132633,1
Island Packet,0.07142857142857142,0.45,340008,5.291266,52.132633,1
Island Packet,0.07142857142857142,0.8,533252,5.291266,52.132633,1
Jeanneau,0.07142857142857142,0.2,113913,-3.435973,55.378051,1
Jeanneau,0.07142857142857142,0.3,133230,-3.74922,40.463667,1
