Make,Y,L,Price,Longitude,Latitude,flag
Beneteau,0.0,0.15,72900,-81.5157535,27.6648274,1
Beneteau,0.0,0.15,124500,-89.3985283,40.6331259,1
Beneteau,0.0,0.35,139995,-73.087749,41.603221,1
Beneteau,0.0,0.35,147900,-76.6412734,39.0457538,1
Beneteau,0.0,0.35,144900,-76.6412734,39.0457538,1
Beneteau,0.0,0.55,195000,-76.6412734,39.0457538,1
Beneteau,0.0,0.55,185000,-79.0192997,35.7595731,1
C&C,0.0,0.2,184900,-71.477429,41.5800945,1
Cabo Rico,0.0,0.5,270000,-71.477429,41.5800945,1
Caliber,0.0,0.25,259000,-81.5157535,27.6648274,1
Catalina,0.0,0.1,125000,-76.6412734,39.0457538,1
Hunter,0.0,0.1,119000,-81.5157535,27.6648274,1
Hunter,0.0,0.1,69000,-76.6412734,39.0457538,1
Hunter,0.0,0.1,109335,-74.2179324,43.2994285,1
Hunter,0.0,0.2,124900,-76.6412734,39.0457538,1
Hunter,0.0,0.2,124900,-85.6023643,44.3148443,1
Hunter,0.0,0.4,165900,-69.4454699,45.253783,1
Hunter,0.0,0.4,149000,-74.2179324,43.2994285,1
Hunter,0.0,0.4,148106,-78.0249023,37.9268688,1
Hunter,0.0,0.5,142500,-79.0192997,35.7595731,1
Island Packet,0.0,0.1,169900,-81.5157535,27.6648274,1
Island Packet,0.0,0.4,299950,-81.5157535,27.6648274,1
Jeanneau,0.0,0.2,118900,-89.3985283,40.6331259,1
Jeanneau,0.0,0.2,114900,-89.3985283,40.6331259,1
Jeanneau,0.0,0.2,126500,-85.6023643,44.3148443,1
Jeanneau,0.0,0.2,124900,-74.2179324,43.2994285,1
Jeanneau,0.0,0.3,165000,-74.2179324,43.2994285,1
Jeanneau,0.0,0.3,149900,-71.477429,41.5800945,1
Tartan,0.0,0.45,345000,-71.477429,41.5800945,1
Bavaria,0.07142857142857142,0.65,184900,-77.39628,25.03428,1
Beneteau,0.07142857142857142,0.15,90838,-74.2179324,43.2994285,1
Beneteau,0.07142857142857142,0.15,99000,-79.0192997,35.7595731,1
Beneteau,0.07142857142857142,0.35,176000,-87.532664,30.362994,1
Beneteau,0.07142857142857142,0.35,145900,-82.9000751,32.1656221,1
Beneteau,0.07142857142857142,0.35,155969,-74.2179324,43.2994285,1
Beneteau,0.07142857142857142,0.35,144900,-74.2179324,43.2994285,1
Beneteau,0.07142857142857142,0.35,139900,-74.2179324,43.2994285,1
Beneteau,0.07142857142857142,0.35,142000,-71.477429,41.5800945,1
Beneteau,0.07142857142857142,0.35,155000,-81.163725,33.836081,1
Beneteau,0.07142857142857142,0.35,159900,-78.0249023,37.9268688,1
Beneteau,0.07142857142857142,0.4,149000,-82.9000751,32.1656221,1
Beneteau,0.07142857142857142,0.4,155000,-74.2179324,43.2994285,1
C&C,0.07142857142857142,0.1,129000,-76.6412734,39.0457538,1
Cabo Rico,0.07142857142857142,0.5,349000,-71.477429,41.5800945,1
Catalina,0.07142857142857142,0.1,135900,-76.6412734,39.0457538,1
Catalina,0.07142857142857142,0.1,159900,-79.0192997,35.7595731,1
Catalina,0.07142857142857142,0.2,145000,-81.5157535,27.6648274,1
Catalina,0.07142857142857142,0.3,159900,-71.3824374,42.4072107,1
Catalina,0.07142857142857142,0.5,219000,-81.5157535,27.6648274,1
Hunter,0.07142857142857142,0.05,109000,-81.5157535,27.6648274,1
Hunter,0.07142857142857142,0.1,95000,-73.087749,41.603221,1
Hunter,0.07142857142857142,0.1,89900,-74.4056612,40.0583238,1
Hunter,0.07142857142857142,0.1,117300,-74.2179324,43.2994285,1
Hunter,0.07142857142857142,0.1,108551,-74.2179324,43.2994285,1
Hunter,0.07142857142857142,0.1,94500,-74.2179324,43.2994285,1
Hunter,0.07142857142857142,0.1,119000,-79.0192997,35.7595731,1
Hunter,0.07142857142857142,0.1,109400,-89.616508,44.268543,1
Hunter,0.07142857142857142,0.2,139000,-74.2179324,43.2994285,1
Hunter,0.07142857142857142,0.2,149500,-79.0192997,35.7595731,1
Hunter,0.07142857142857142,0.2,149000,-82.907123,40.4172871,1
Hunter,0.07142857142857142,0.4,163000,-81.5157535,27.6648274,1
Hunter,0.07142857142857142,0.4,169900,-71.477429,41.5800945,1
Hunter,0.07142857142857142,0.45,167500,-76.6412734,39.0457538,1
Hunter,0.07142857142857142,0.45,179900,-89.616508,44.268543,1
Island Packet,0.07142857142857142,0.45,350000,-81.5157535,27.6648274,1
Jeanneau,0.07142857142857142,0.2,129500,-89.3985283,40.6331259,1
Jeanneau,0.07142857142857142,0.2,129900,-71.477429,41.5800945,1
Jeanneau,0.07142857142857142,0.3,159000,-71.477429,41.5800945,1
Jeanneau,0.07142857142857142,0.45,169000,-81.5157535,27.6648274,1
Jeanneau,0.07142857142857142,0.65,278165,-81.5157535,27.6648274,1
Jeanneau,0.07142857142857142,0.65,175000,-81.5157535,27.6648274,1
Jeanneau,0.07142857142857142,0.65,279900,-85.6023643,44.3148443,1
Jeanneau,0.07142857142857142,0.65,249900,-85.6023643,44.3148443,1
Oyster,0.07142857142857142,0.5,499000,-71.477429,41.5800945,1
Passport,0.07142857142857142,0.55,489000,-76.6412734,39.0457538,1
Passport,0.07142857142857142,0.75,635000,-76.6412734,39.0457538,1
Sabre,0.07142857142857142,0.1,194995,-74.2179324,43.2994285,1
Sabre,0.07142857142857142,0.3,285000,-81.5157535,27.6648274,1
Sabre,0.07142857142857142,0.3,285000,-76.6412734,39.0457538,1
Bavaria,0.1428571428571428,0.15,85900,-81.5157535,27.6648274,1
Bavaria,0.1428571428571428,0.5,129900,-81.5157535,27.6648274,1
Beneteau,0.1428571428571428,0.35,138900,-81.5157535,27.6648274,1
Beneteau,0.1428571428571428,0.35,129900,-78.0249023,37.9268688,1
Beneteau,0.1428571428571428,0.65,269000,-81.5157535,27.6648274,1
Beneteau,0.1428571428571428,0.65,199900,-71.3824374,42.4072107,1
Beneteau,0.1428571428571428,0.75,149900,-81.5157535,27.6648274,1
Beneteau,0.1428571428571428,0.75,174900,-78.0249023,37.9268688,1
Beneteau,0.1428571428571428,0.85,279000,-81.5157535,27.6648274,1
Cabo Rico,0.1428571428571428,0.5,274000,-82.9000751,32.1656221,1
Caliber,0.1428571428571428,0.6,339950,-81.5157535,27.6648274,1
Catalina,0.1428571428571428,0.3,159800,-74.4056612,40.0583238,1
Catalina,0.1428571428571428,0.5,214900,-78.0249023,37.9268688,1
Catalina,0.1428571428571428,0.55,274999,-78.0249023,37.9268688,1
Hunter,0.1428571428571428,0.1,99000,-85.6023643,44.3148443,1
Hunter,0.1428571428571428,0.45,175900,-76.6412734,39.0457538,1
