Make,Y,L,Price,Longitude,Latitude,flag
Beneteau,0.0,0.15,99000,-102.552784,23.634501,1
Beneteau,0.0,0.4,180000,-119.4179324,36.778261,1
Beneteau,0.0,0.4,149000,-119.4179324,36.778261,1
Beneteau,0.0,0.4,129900,-99.9018131,31.9685998,1
Catalina,0.0,0.3,165000,-102.552784,23.634501,1
Catalina,0.0,0.3,159500,-120.7401385,47.7510741,1
Catalina,0.0,0.5,199900,-119.4179324,36.778261,1
Catalina,0.0,0.5,194950,-120.7401385,47.7510741,1
Hunter,0.0,0.2,132000,-119.4179324,36.778261,1
Hunter,0.0,0.4,159000,-119.4179324,36.778261,1
J Boats,0.0,0.2,195000,-119.4179324,36.778261,1
Jeanneau,0.0,0.65,335000,-119.4179324,36.778261,1
Jeanneau,0.0,0.65,255000,-120.7401385,47.7510741,1
Morris,0.0,0.6,479000,-119.4179324,36.778261,1
Bavaria,0.07142857142857142,0.3,109000,-119.4179324,36.778261,1
Beneteau,0.07142857142857142,0.15,149000,-119.4179324,36.778261,1
Beneteau,0.07142857142857142,0.15,160000,-155.5827818,19.8967662,1
Beneteau,0.07142857142857142,0.55,229000,-119.4179324,36.778261,1
Beneteau,0.07142857142857142,0.55,299000,-120.5542012,43.8041334,1
Beneteau,0.07142857142857142,0.75,199900,-120.7401385,47.7510741,1
Beneteau,0.07142857142857142,0.85,337000,-119.4179324,36.778261,1
C&C,0.07142857142857142,0.1,129900,-119.4179324,36.778261,1
C&C,0.07142857142857142,0.1,144900,-119.4179324,36.778261,1
Catalina ,0.07142857142857142,0.5,200000,-102.552784,23.634501,1
Hunter,0.07142857142857142,0.1,105000,-99.9018131,31.9685998,1
Hunter,0.07142857142857142,0.2,120000,-119.4179324,36.778261,1
Hunter,0.07142857142857142,0.2,174500,-120.7401385,47.7510741,1
Hunter,0.07142857142857142,0.4,159000,-102.552784,23.634501,1
Hunter,0.07142857142857142,0.45,205000,-119.4179324,36.778261,1
J Boats,0.07142857142857142,0.2,189000,-119.4179324,36.778261,1
Jeanneau,0.07142857142857142,0.3,180000,-102.552784,23.634501,1
Jeanneau,0.07142857142857142,0.3,198500,-120.7401385,47.7510741,1
Tayana,0.07142857142857142,0.6,386000,-119.4179324,36.778261,1
Beneteau,0.1428571428571428,0.35,154900,-99.9018131,31.9685998,1
Beneteau,0.1428571428571428,0.55,130000,-102.552784,23.634501,1
Beneteau,0.1428571428571428,0.65,299900,-119.4179324,36.778261,1
