Make,Y,L,Price,Longitude,Latitude,flag
Bavaria,0,0.1,75178,15.2,45.1,1
Bavaria,0,0.1,66825,15.2,45.1,1
Bavaria,0,0.1,54661,15.2,45.1,1
Bavaria,0,0.1,53447,15.2,45.1,1
Bavaria,0,0.1,91101,21.824312,39.074208,1
Bavaria,0,0.15,66748,21.824312,39.074208,1
Bavaria,0,0.25,78945,15.2,45.1,1
Bavaria,0,0.25,58297,15.2,45.1,1
Bavaria,0,0.3,112906,15.2,45.1,1
Bavaria,0,0.3,95961,12.56738,41.87194,1
Bavaria,0,0.3,94746,12.56738,41.87194,1
Bavaria,0,0.3,91102,12.56738,41.87194,1
Bavaria,0,0.5,101063,15.2,45.1,1
Bavaria,0,0.5,91106,15.2,45.1,1
Bavaria,0,0.5,84907,15.2,45.1,1
Bavaria,0,0.5,84786,15.2,45.1,1
Bavaria,0,0.5,133651,21.824312,39.074208,1
Bavaria,0,0.5,109338,21.824312,39.074208,1
Bavaria,0,0.5,105705,21.824312,39.074208,1
Bavaria,0,0.5,103253,21.824312,39.074208,1
Bavaria,0,0.5,96933,21.824312,39.074208,1
Bavaria,0,0.5,115396,12.56738,41.87194,1
Bavaria,0,0.5,103249,12.56738,41.87194,1
Bavaria,0,0.65,103249,15.2,45.1,1
Bavaria,0,0.65,109323,21.824312,39.074208,1
Bavaria,0,0.65,151843,12.56738,41.87194,1
Bavaria,0,0.65,136896,12.56738,41.87194,1
Bavaria,0,0.7,103249,15.2,45.1,1
Beneteau,0,0.15,157889,15.2,45.1,1
Beneteau,0,0.15,78975,21.824312,39.074208,1
Beneteau,0,0.15,103275,12.56738,41.87194,1
Beneteau,0,0.15,82620,12.56738,41.87194,1
Beneteau,0,0.35,103921,21.824312,39.074208,1
Beneteau,0,0.35,91090,12.56738,41.87194,1
Beneteau,0,0.35,127526,14.375416,35.937496,1
Beneteau,0,0.4,131187,21.824312,39.074208,1
Beneteau,0,0.4,119040,12.56738,41.87194,1
Beneteau,0,0.55,144549,15.2,45.1,1
Beneteau,0,0.55,102034,15.2,45.1,1
Beneteau,0,0.55,127543,12.56738,41.87194,1
Beneteau,0,0.55,133611,14.375416,35.937496,1
Beneteau,0,0.85,224719,12.56738,41.87194,1
Comar,0,0.25,150622,12.56738,41.87194,1
Comar,0,0.5,163984,12.56738,41.87194,1
Comar,0,0.75,200425,12.56738,41.87194,1
Comar,0,0.8,255086,12.56738,41.87194,1
Dehler,0,0.25,176176,12.56738,41.87194,1
Delphia,0,0.15,85017,12.56738,41.87194,1
Dufour,0,0.1,87458,15.2,45.1,1
Dufour,0,0.1,98591,35.243322,38.963745,1
Dufour,0,0.4,139690,12.56738,41.87194,1
